"id","seed","A1[SQ001]","A2[SQ001]","A2[SQ003]","A3[SQ001]","A3[SQ002]","A3[SQ003]","B1[SQ001]","B2","C1","C2[SQ001]","C3[SQ001]","C4[SQ001]","D1[SQ001]","D2[SQ001]","D3","D4","D5","D6[SQ001]","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","interviewtime"
"6","691966272","1","1","5","1","2","2","1","1","1","6","2","2","1","1","78","66","2","5","1","77","1","1","1","","","3","","","2","298.34"
"7","1123855006","1","1","2","2","5","1","2","1","2","4","2","1","4","3","100","80","1","2","3","26","6","2","4","","","3","","","4","380.03"
"8","2067156897","2","2","2","2","4","2","3","","2","4","3","3","4","2","50","75","1","4","2","23","1","2","3","","","3","1","5","4","595.84"
"9","1029231678","2","4","4","3","3","3","1","1","2","2","5","4","5","4","50","0","3","4","3","23","1","3","3","","","3","2","3","4","374.3"
"10","1346030018","1","4","1","3","2","2","4","","2","2","5","1","3","2","100","100","1","2","3","24","1","2","3","","","2","1","4","4","334.17"
"11","733810016","1","1","2","2","4","2","3","","2","4","1","4","5","4","75","30","3","2","2","55","6","1","4","","","3","","","2","666.05"
"12","1708731388","4","1","2","3","3","3","2","1","2","4","1","3","5","3","100","50","1","1","2","24","7","2","4","","","3","","","4","615"
"13","1434724478","2","2","3","3","3","3","4","","2","4","2","3","4","3","50","0","3","3","3","25","6","3","4","","","3","","","4","348.92"
"14","910136726","5","2","3","3","4","4","3","","2","4","2","2","5","2","100","50","1","2","2","50","8","2","4","","","3","","","2","444.95"
"15","786646389","1","2","3","1","2","2","2","1","2","2","4","2","3","2","100","80","1","2","2","26","4","3","3","","","2","2","6","4","187.47"
"16","1858091215","1","2","2","3","4","2","4","","2","4","2","4","5","4","100","30","3","1","3","25","7","2","4","","","3","","","4","419.52"
"17","2142507217","2","2","4","2","2","2","2","1","2","2","4","2","1","3","40","20","1","1","3","25","4","2","3","","","3","1","8","4","263.85"
"18","1227604730","1","1","2","1","1","2","1","2","2","1","5","4","5","2","80","50","1","3","2","24","2","2","3","","","2","1","6","4","351.88"
"19","815151397","1","2","1","2","2","3","3","","2","2","4","3","1","1","60","100","1","1","3","25","3","2","3","","","2","4","6","4","442.51"
"21","817773396","3","1","2","1","3","2","2","1","2","2","3","2","4","3","50","75","3","3","3","22","1","3","3","","","3","2","1","4","1429.23"
"22","416191690","4","2","4","2","2","2","4","","2","4","2","3","3","4","80","0","1","3","2","31","6","4","4","","","3","","","4","404.32"
"23","518743786","1","1","4","4","4","3","3","","2","4","2","1","4","2","50","80","3","2","3","30","8","3","4","","","3","","","4","375.73"
"24","181322946","2","2","1","2","4","2","4","","2","5","3","1","4","2","30","0","1","1","3","24","6","2","4","","","3","","","4","343.44"
"25","1487767655","1","2","2","3","3","3","2","1","2","2","4","2","4","2","100","50","3","2","3","25","5","2","4","","","3","","","4","278.55"
"26","431457616","2","3","4","2","3","3","4","","2","4","3","2","5","3","80","50","3","4","3","22","1","2","3","","","3","1","4","4","350.9"
"27","810945339","1","3","1","1","2","1","2","1","2","2","6","1","1","2","100","70","1","1","3","22","1","2","3","","","2","1","7","4","215.77"
"29","620252618","5","2","2","5","5","5","5","","2","6","1","1","5","4","60","80","1","4","3","22","3","3","3","","","1","2","1","4","223.6"
"30","182442549","2","1","1","2","3","2","3","","1","3","5","1","3","2","50","100","3","1","3","25","7","2","4","","","2","","","4","202.49"
"31","731661195","1","3","5","3","3","3","1","1","2","4","1","5","5","4","100","80","3","3","2","24","5","2","4","","","3","","","4","243.39"
"32","1707864251","1","2","4","3","3","1","2","2","2","4","3","3","4","2","100","60","1","4","2","51","4","7","4","","","3","","","3","854.54"
"33","1669627974","1","2","4","2","2","3","2","1","2","3","4","2","4","2","100","50","1","2","3","56","7","2","4","","","3","","","3","711.56"
"34","243558228","1","3","2","1","1","1","4","","2","3","4","3","4","4","80","60","3","2","2","26","1","3","3","","","3","2","2","4","312.39"
"35","1414345781","2","2","3","2","2","2","5","","2","3","2","1","4","4","80","20","1","2","2","24","7","2","4","","","3","","","4","358.51"
"36","286703643","2","5","4","3","4","4","4","","1","4","3","3","5","3","100","0","3","2","2","25","3","3","4","","","3","","","4","513.77"
"38","532257608","2","2","2","2","2","2","3","","2","2","1","2","5","4","50","50","3","3","3","25","7","2","4","","","3","","","4","2190.52"
"39","169714982","2","2","2","2","2","2","3","","1","2","3","1","2","4","50","80","3","3","2","20","5","2","3","","","3","2","1","4","1551.58"
"40","1208400108","2","1","3","2","2","2","4","","2","3","3","3","5","4","50","50","3","3","2","52","5","6","4","","","3","","","2","2207.82"
"43","1447548991","1","2","4","3","3","3","2","1","2","4","3","3","4","4","100","25","3","2","3","58","6","1","4","","","3","","","3","452.79"
"44","958193147","1","3","5","3","4","5","4","","2","4","3","2","4","4","80","80","3","3","2","23","5","2","4","","","3","","","4","500.43"
"45","223407145","1","2","2","1","1","1","2","2","2","3","4","2","3","1","50","100","3","2","2","60","6","4","4","","","1","","","2","404.49"
"46","621431358","4","2","2","3","2","3","4","","2","3","3","4","5","3","90","60","3","3","2","22","5","2","4","","","3","","","4","327.27"
"48","55309527","1","2","2","2","2","2","1","1","2","3","4","3","5","4","80","75","1","3","3","23","1","3","3","","","3","2","3","4","415"
"49","867437579","3","2","2","3","3","3","5","","2","3","4","3","4","4","95","100","3","3","2","25","1","2","3","","","3","1","5","4","337.25"
"52","1960418866","1","1","3","3","3","3","4","","2","4","1","2","4","3","60","40","3","2","2","28","1","3","3","","","3","1","6","4","662.08"
"53","742574829","1","3","2","3","3","3","4","","2","4","3","3","5","2","100","50","1","2","2","21","1","2","3","","","3","1","6","4","269.05"
"54","1816139385","2","2","2","3","3","4","2","1","2","5","2","2","4","2","50","0","3","4","3","25","5","2","5","N","","3","","","4","348.45"
"55","952202129","1","2","2","2","4","1","2","1","2","6","1","1","3","2","50","0","3","4","2","32","3","3","4","","","3","","","1","289.12"
"56","182413746","1","1","1","3","3","3","1","1","2","2","2","","4","4","100","100","3","2","3","63","8","4","4","","","1","","","2","346.81"
"57","449288045","1","2","1","2","2","2","1","1","2","2","4","1","4","1","100","40","1","1","3","22","1","2","3","","","2","1","5","4","259.76"
"58","777284785","1","1","4","1","1","2","1","1","2","1","2","1","3","2","100","100","3","1","2","24","4","2","3","","","2","1","6","4","279.43"
"59","189760340","1","2","1","2","3","2","2","1","2","2","5","2","4","1","50","80","1","1","2","27","3","2","4","","","2","","","4","262.8"
"60","1809404052","1","1","1","1","3","1","2","2","2","3","3","1","4","3","80","75","3","1","2","24","3","3","3","","","2","2","2","4","473.63"
"61","546632997","1","1","2","3","4","4","2","1","2","3","4","2","4","4","100","0","3","4","2","58","8","4","4","","","1","","","2","577.29"
